,audio file,mfcc,vowel label,encoded label
0,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m49er.wav,,er,
1,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m40oo.wav,,oo,
2,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m21uw.wav,,uw,
3,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m24ei.wav,,ei,
4,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m30uh.wav,,uh,
5,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m26ih.wav,,ih,
6,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m21ae.wav,,ae,
7,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m45eh.wav,,eh,
8,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m20iy.wav,,iy,
9,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m48uh.wav,,uh,
10,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m44aw.wav,,aw,
11,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m01aw.wav,,aw,
12,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m19ei.wav,,ei,
13,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m31er.wav,,er,
14,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m10ah.wav,,ah,
15,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m38oo.wav,,oo,
16,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m25aw.wav,,aw,
17,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m29uh.wav,,uh,
18,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m19eh.wav,,eh,
19,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m36oa.wav,,oa,
20,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m04iy.wav,,iy,
21,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m38ae.wav,,ae,
22,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m41iy.wav,,iy,
23,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m38uw.wav,,uw,
24,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m50er.wav,,er,
25,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m34ah.wav,,ah,
26,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m45ei.wav,,ei,
27,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m40uw.wav,,uw,
28,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m21oo.wav,,oo,
29,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m09ah.wav,,ah,
30,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m28er.wav,,er,
31,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m24eh.wav,,eh,
32,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m40ae.wav,,ae,
33,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m39iy.wav,,iy,
34,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m18aw.wav,,aw,
35,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m02ih.wav,,ih,
36,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m47ih.wav,,ih,
37,/Users/alejandromartinez/Desktop/COMP_LING/FINAL/audio_files/men/m14uh.wav,,uh,
